ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
105;Ben;0.5;0.5;0.5;0.5;0.5;0.5
106;Ben;0.5;0.5;0.5;0.5;0.5;0.5
107;Ben;0.5;0.5;0.5;0.5;0.5;0.5
108;Ben;0.5;0.5;0.5;0.5;0.5;0.5
109;Ben;0.5;0.5;0.5;0.5;0.5;0.5
110;Ben;0.5;0.5;0.5;0.5;0.5;0.5
111;Ben;0.5;0.5;0.5;0.5;0.5;0.5
112;Ben;0.5;0.5;0.5;0.5;0.5;0.5
113;Ben;0.5;0.5;0.5;0.5;0.5;0.5
114;Ben;0.5;0.5;0.5;0.5;0.5;0.5
115;Ben;0.5;0.5;0.5;0.5;0.5;0.5
116;Ben;0.5;0.5;0.5;0.5;0.5;0.5
117;Ben;0.5;0.5;0.5;0.5;0.5;0.5
118;Ben;0.5;0.5;0.5;0.5;0.5;0.5
119;Ben;0.5;0.5;0.5;0.5;0.5;0.5
120;Ben;0.5;0.5;0.5;0.5;0.5;0.5
121;Ben;0.5;0.5;0.5;0.5;0.5;0.5
122;Ben;0.5;0.5;0.5;0.5;0.5;0.5
123;Ben;0.5;0.5;0.5;0.5;0.5;0.5
124;Ben;0.5;0.5;0.5;0.5;0.5;0.5
125;Ben;0.5;0.5;0.5;0.5;0.5;0.5
126;Ben;0.5;0.5;0.5;0.5;0.5;0.5
127;Ben;0.5;0.5;0.5;0.5;0.5;0.5
128;Ben;0.5;0.5;0.5;0.5;0.5;0.5
129;Ben;0.5;0.5;0.5;0.5;0.5;0.5
130;Ben;0.5;0.5;0.5;0.5;0.5;0.5
131;Ben;0.5;0.5;0.5;0.5;0.5;0.5
132;Ben;0.5;0.5;0.5;0.5;0.5;0.5
133;Ben;0.5;0.5;0.5;0.5;0.5;0.5
134;Ben;0.5;0.5;0.5;0.5;0.5;0.5
135;Ben;0.5;0.5;0.5;0.5;0.5;0.5
136;Ben;0.5;0.5;0.5;0.5;0.5;0.5
137;Ben;0.5;0.5;0.5;0.5;0.5;0.5
138;Ben;0.5;0.5;0.5;0.5;0.5;0.5
139;Ben;0.5;0.5;0.5;0.5;0.5;0.5
140;Ben;0.5;0.5;0.5;0.5;0.5;0.5
141;Ben;0.5;0.5;0.5;0.5;0.5;0.5
142;Ben;0.5;0.5;0.5;0.5;0.5;0.5
143;Ben;0.5;0.5;0.5;0.5;0.5;0.5
144;Ben;0.5;0.5;0.5;0.5;0.5;0.5
145;Ben;0.5;0.5;0.5;0.5;0.5;0.5
146;Ben;0.5;0.5;0.5;0.5;0.5;0.5
