ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
31;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
32;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
33;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
34;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
35;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
36;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
37;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
38;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
39;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
40;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
41;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
42;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
43;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
44;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
45;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
46;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
47;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
48;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
49;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
50;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
51;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
52;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
53;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
54;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
55;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
56;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
57;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
58;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
59;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
60;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
61;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
62;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
63;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
64;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
65;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
66;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
67;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
68;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
69;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
70;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
71;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
72;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
73;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
